id	filename	md5	size	state
055e196d-4f9e-451c-a81b-6d64852ea0e5	TCGA-AA-A01P-11A-01-TS1.0f1f9b20-91ab-4f4d-81fa-fb1d0392302c.svs	c22401e0f584ba4ca06ab73c640690f5	25318158	validated
05789d19-4fb0-4e58-8030-6fe8ce8cab89	TCGA-CM-5868-01A-01-TS1.ef03933f-3d75-413d-ba1f-ccfb23dc6ac1.svs	8e57a3761184029e68a9d47699b63e55	99471115	validated
06030ae8-a0a8-4282-a1aa-d035e723c125	TCGA-D5-6928-01A-01-BS1.9e649367-15d6-40f4-8c7c-06cd969605bf.svs	5126afea04f42bb68bc6887569b4c948	104934007	validated
06598611-0220-4711-a644-7a3984a349a1	TCGA-CK-4951-01A-01-TS1.aceb0b80-3b79-46f6-8814-84c7f8d0c376.svs	86f417595f4ec0c738f0e304025a106c	27525027	validated
068512b4-0c91-4f51-8822-587feaae39b6	TCGA-AA-3815-01A-01-BS1.ecfbd39b-f241-41e9-975c-63674cfbe9f3.svs	0865750c6f7fb8b415f3291ab8e46c2e	150677155	validated
06aa53a6-7f43-4373-87c1-ecbe15045618	TCGA-A6-5662-01A-01-BS1.e50a0ee6-4599-4738-abe5-489d84594753.svs	50abc6171a4373c9860922f0a77d348d	16241339	validated
06c0785a-5bed-466f-8a09-05c308bda509	TCGA-CM-6674-01A-01-TS1.e15ad432-21fc-42a2-9287-310a41de2969.svs	6c85a7ec47e15a7e4ec124a0826d38f1	238990249	validated
06d7304c-755d-47d7-b0ba-406f6525f588	TCGA-5M-AAT4-01A-01-TS1.70508921-9A9C-4374-8052-248FF7FF0BB1.svs	d57fe872b05fccace50b2dfcc93583d9	294703567	validated
06f23a08-df48-4118-9189-3a4a6448eedb	TCGA-AZ-4684-01A-01-BS1.1427f6b7-0342-4a14-9917-e336b0dc5c5e.svs	84daa7bed8bd6e4d64d2c42491f5b5ed	278949649	validated
07a96ed5-860b-4336-ae86-4030e9733686	TCGA-AA-A01Z-11A-01-BS1.e2bc1b90-7a51-42e7-8dd9-3cfd7dbe7afe.svs	b692c1550e922a8860aacdcb7870d44e	61547717	validated
07bd7f39-7612-4aab-a23e-882d4d0ec64a	TCGA-AA-3556-01A-01-BS1.6c414ca3-3254-4af5-a3a6-5ac24a643f02.svs	1b4c0307640d051e2c4f11aa688716bb	47989729	validated
07c11041-38ca-45e2-86ce-594d1ecee5b2	TCGA-DC-6156-01A-01-TS1.daf78545-1f55-4254-9586-5fea07debcfa.svs	b09ac46ae9473e0fe0c457fae6be504d	144308875	validated
07f43326-c20e-4d6f-8ae5-54df65382053	TCGA-AA-3667-01A-01-BS1.ff761eb9-b6af-4a51-92aa-fb5c014f061d.svs	101ace0590c77d22ac2f5cdaea29566a	107414585	validated
08360254-e273-424d-9e67-c9ee6a610c4b	TCGA-CK-5913-01A-01-TS1.d2ffb454-f0de-4538-9534-bc945895944a.svs	f339dc33e194012cc61d17d9825b75c5	38197315	validated
083786e4-5fe4-4f6c-959e-9c78bcdd233c	TCGA-AG-A011-01A-01-TS1.12836689-46d5-4d66-ada5-3de7f942cd0c.svs	dee85d2ac3f60dd7dfefb8df861755fd	98857974	validated
08720355-34eb-4041-b8ec-e407e807eed9	TCGA-AA-3521-01A-01-BS1.2436a207-6b63-4314-9595-9df659071f34.svs	ee7047d89209d9b0c936700dc9dfe6f9	97504581	validated
08e81a0c-0899-44bb-a566-9cc1de75e289	TCGA-CM-4744-01A-01-BS1.898effd7-1881-4fd2-b3ae-5dcdb52300b3.svs	2bb531ea38660557a09e00c8da543029	226031587	validated
08ea6bff-b4be-4c88-8eaf-1f58bd2bdb81	TCGA-AA-A01S-01A-02-BS2.6f1c5994-06c8-459e-b2aa-d530df765808.svs	633b1e9e4ce23b6fe98b154780731e2b	214171269	validated
0917a1bd-eb40-4312-845f-ffddf2489deb	TCGA-AA-A00N-01A-02-BS2.e2aa021c-96a0-4043-bedd-b1a491c18266.svs	0890e4a19709c5a2b16f51a3b1ef152b	147322620	validated
092b988d-468c-4258-a10a-94f7e52158ed	TCGA-AA-3655-01A-01-BS1.49dfbd65-cf66-40fe-b2b4-3b663a52d93c.svs	7bf79c93195688a2a5203fdd4b7e3bb2	98464363	validated
0972f918-ee10-49c0-9a13-a261d68f920a	TCGA-CK-5916-01A-01-BS1.bc3ae82a-953b-4df0-aa42-6d009b7e9259.svs	0a91167c723dec2d3cfccfe448f6b23b	66292611	validated
098cb44d-6e1f-4a97-b6e8-0def6eb06fbb	TCGA-AF-3914-01A-01-TS1.64965031-b1b6-4b6f-8fe2-fc6e7f8eb4e9.svs	b5e920aa443ddcc59dd5b1c75d1c7038	112384183	validated
09c2384f-c3a2-4528-a23c-ed301551f104	TCGA-AZ-4616-01A-01-BS1.17596b1f-47af-4f77-ab6a-ec2876da2e97.svs	781ccb2aff26594fae838f09124e657f	100315577	validated
09f390ef-5b2e-469d-a57f-3d98d87766ea	TCGA-AG-A02N-01A-01-TS1.4350150e-2f6b-43ce-bde6-657df5f6fa30.svs	a64811f74cc3ecf8ff1b48eefb9e8992	176914006	validated
0a1b7c8a-0dfc-4e9e-86d5-d50e93711996	TCGA-AG-A02N-01A-01-MS1.855a474f-ea77-4f08-a95f-534dede4dd80.svs	1df5f21a5d5eb5b85734dec42061ba53	192059750	validated
0a438257-9739-46df-b326-5d1c603a3e70	TCGA-AZ-6608-01A-01-BS1.c984f302-0ba8-4a23-8a27-455d29f01730.svs	948e06f62d4108485a107c39dcdb47a7	207870279	validated
0a57f4c6-7656-46e0-ac28-c9d1b7c92525	TCGA-AA-3811-01A-01-TS1.6dcefb95-754c-4ea5-9453-8f998a05a9da.svs	e772d30f8e846bf3e0c3aae892af84ee	173684063	validated
0aabd04a-129b-4b28-b460-248764bcecc2	TCGA-CM-5341-01A-01-TS1.0240d0bc-f587-4d47-b3be-00e6d1df2418.svs	762b50712f5fdd635abe79e552da3b73	329141195	validated
0ab57825-9424-46ea-80d8-45b0c6e98066	TCGA-A6-3809-01B-03-BS3.D8B0068C-ACD9-45E5-9606-7CFAF9D08493.svs	9acf4fb675fdbe8e3064613f5cb9ea7f	184430947	validated
0b06fae7-a23c-4f14-ae1e-ae8a32f9ab0e	TCGA-AA-3663-01A-01-BS1.29369de3-d3c2-4712-a8d0-aef23b9eaadc.svs	a1c131652004b9b1452304275a8a9aaa	70231685	validated
0b108f8d-9b95-488f-8045-2ba2cc36930c	TCGA-AZ-5403-01A-01-TS1.52f83f14-e748-4607-a3c1-21764f54d0f2.svs	81425f4bf9235ea467f08b9f94ab471d	15190411	validated
